,CPI,export,import,label
1995-01-31,0.052000000000000005,0.28,0.19,0.0
1995-02-28,0.045,0.359,0.47600000000000003,0.0
1995-03-31,0.046,0.313,0.40299999999999997,0.0
1995-04-30,0.051,0.325,0.375,0.0
1995-05-31,0.052000000000000005,0.355,0.397,0.0
1995-06-30,0.042,0.354,0.428,0.0
1995-07-31,0.036000000000000004,0.378,0.35600000000000004,1.0
1995-08-31,0.034,0.396,0.344,1.0
1995-09-30,0.047,0.322,0.319,0.0
1995-10-31,0.045,0.3,0.29,0.0
1995-11-30,0.040999999999999995,0.24300000000000002,0.24100000000000002,0.0
1995-12-31,0.048,0.099,0.113,0.0
1996-01-31,0.048,0.278,0.344,0.0
1996-02-29,0.048,0.172,0.161,0.0
1996-03-31,0.044000000000000004,0.16899999999999998,0.04,0.0
1996-04-30,0.045,0.047,0.14300000000000002,0.0
1996-05-31,0.049,0.055,0.073,0.0
1996-06-30,0.052000000000000005,0.005,-0.009000000000000001,3.0
1996-07-31,0.054000000000000006,-0.055999999999999994,0.126,0.0
1996-08-31,0.053,-0.087,0.125,0.0
1996-09-30,0.045,-0.08900000000000001,-0.018000000000000002,3.0
1996-10-31,0.05,0.027999999999999997,0.155,0.0
1996-11-30,0.053,-0.006,0.125,0.0
1996-12-31,0.049,0.039,0.152,0.0
1997-01-31,0.047,-0.09,0.038,0.0
1997-02-28,0.049,-0.053,0.0,3.0
1997-03-31,0.045,-0.031000000000000003,0.076,0.0
1997-04-30,0.043,0.071,0.01,0.0
1997-05-31,0.038,0.045,-0.032,2.0
1997-06-30,0.04,0.096,0.048,0.0
1997-07-31,0.037000000000000005,0.193,-0.006999999999999999,2.0
1997-08-31,0.04,0.14,-0.113,3.0
1997-09-30,0.042,0.134,0.012,0.0
1997-10-31,0.042,0.052000000000000005,-0.07,3.0
1997-11-30,0.043,0.038,-0.12400000000000001,3.0
1997-12-31,0.066,0.017,-0.249,3.0
1998-01-31,0.083,-0.004,-0.402,3.0
1998-02-28,0.095,0.19899999999999998,-0.313,3.0
1998-03-31,0.09,0.06,-0.365,3.0
1998-04-30,0.08800000000000001,0.057999999999999996,-0.359,3.0
1998-05-31,0.08199999999999999,-0.037000000000000005,-0.38200000000000006,3.0
1998-06-30,0.075,-0.071,-0.37,3.0
1998-07-31,0.073,-0.151,-0.439,3.0
1998-08-31,0.069,-0.121,-0.381,3.0
1998-09-30,0.069,-0.052000000000000005,-0.37200000000000005,3.0
1998-10-31,0.07200000000000001,-0.147,-0.39299999999999996,3.0
1998-11-30,0.068,-0.013999999999999999,-0.289,3.0
1998-12-31,0.04,-0.001,-0.153,3.0
1999-01-31,0.015,0.028999999999999998,0.153,1.0
1999-02-28,0.002,-0.168,-0.032,2.0
1999-03-31,0.005,-0.028999999999999998,0.12300000000000001,1.0
1999-04-30,0.004,-0.047,0.109,1.0
1999-05-31,0.008,0.01,0.24600000000000002,1.0
1999-06-30,0.006,0.114,0.317,1.0
1999-07-31,0.003,0.172,0.379,1.0
1999-08-31,0.009000000000000001,0.171,0.385,1.0
1999-09-30,0.008,0.113,0.396,1.0
1999-10-31,0.012,0.265,0.485,1.0
1999-11-30,0.013999999999999999,0.217,0.409,1.0
1999-12-31,0.013999999999999999,0.204,0.454,1.0
2000-01-31,0.019,0.314,0.46,1.0
2000-02-29,0.018000000000000002,0.358,0.5750000000000001,1.0
2000-03-31,0.021,0.23800000000000002,0.527,1.0
2000-04-30,0.013999999999999999,0.17600000000000002,0.466,1.0
2000-05-31,0.011000000000000001,0.281,0.405,1.0
2000-06-30,0.022000000000000002,0.19,0.292,1.0
2000-07-31,0.03,0.23,0.39799999999999996,1.0
2000-08-31,0.024,0.30100000000000005,0.364,1.0
2000-09-30,0.035,0.265,0.313,1.0
2000-10-31,0.026000000000000002,0.134,0.242,1.0
