iter	MultiClass
0	1.383258699
1	1.380166827
2	1.377875441
3	1.375770019
4	1.372385851
5	1.368310876
6	1.364898743
7	1.362334575
8	1.35923079
9	1.356446699
10	1.353734301
11	1.350158827
12	1.347074092
13	1.345323696
14	1.342245791
15	1.338795305
16	1.335780194
17	1.333492365
18	1.330074151
19	1.326845757
20	1.324650821
21	1.321990969
22	1.318164089
23	1.315073208
24	1.311635763
25	1.30870102
26	1.305242596
27	1.301775014
28	1.298576184
29	1.296474163
30	1.292960661
31	1.29022352
32	1.286869803
33	1.284622838
34	1.281937808
35	1.27858727
36	1.276058172
37	1.272800345
38	1.269981709
39	1.267236479
40	1.264490179
41	1.2617628
42	1.259906286
43	1.257770882
44	1.255149556
45	1.252892296
46	1.250964045
47	1.248475992
48	1.245535009
49	1.241993277
50	1.239373774
51	1.23675404
52	1.234722848
53	1.231365783
54	1.229339191
55	1.226610477
56	1.22485171
57	1.221942315
58	1.219774865
59	1.21670232
60	1.214563462
61	1.212245532
62	1.210522945
63	1.207551746
64	1.206018404
65	1.203323695
66	1.2003875
67	1.197412943
68	1.194817218
69	1.192220038
70	1.189988154
71	1.186820383
72	1.184578912
73	1.182150455
74	1.179838351
75	1.177315856
76	1.175045458
77	1.173093981
78	1.170310148
79	1.167907627
80	1.165680737
81	1.164040802
82	1.161529912
83	1.159220178
84	1.15712577
85	1.155069196
86	1.153212079
87	1.150442114
88	1.148433467
89	1.145777445
90	1.144476812
91	1.142403688
92	1.13989708
93	1.137119823
94	1.13468875
95	1.132576786
96	1.130055169
97	1.127709805
98	1.125868292
99	1.124229424
100	1.121547054
101	1.119017871
102	1.117210032
103	1.115872811
104	1.114181846
105	1.111988009
106	1.11038322
107	1.108386411
108	1.105941085
109	1.103251584
110	1.100808129
111	1.098772302
112	1.096463362
113	1.094172713
114	1.091837936
115	1.089721123
116	1.087289595
117	1.085248014
118	1.083529178
119	1.080835323
120	1.078754589
121	1.076431734
122	1.074071159
123	1.071773814
124	1.069658105
125	1.067187137
126	1.065292701
127	1.063257441
128	1.061311945
129	1.05892265
130	1.057132533
131	1.055011119
132	1.052876122
133	1.050962014
134	1.048790371
135	1.046196048
136	1.043781335
137	1.041069597
138	1.03893375
139	1.036712722
140	1.034898161
141	1.032803785
142	1.030983269
143	1.029055321
144	1.027697362
145	1.025794698
146	1.024093537
147	1.022547883
148	1.02041182
149	1.018627817
150	1.017033699
151	1.014805458
152	1.013447561
153	1.011339431
154	1.009495231
155	1.007295658
156	1.00519294
157	1.003307944
158	1.001113873
159	0.9995334555
160	0.9979291192
161	0.9961569769
162	0.9941889709
163	0.9929072888
164	0.9912352841
165	0.9900297713
166	0.988436261
167	0.9870647492
168	0.9856831406
169	0.9839217437
170	0.9822555522
171	0.9811337322
172	0.9791183153
173	0.9774305619
174	0.9752312776
175	0.9738448829
176	0.9719998766
177	0.97039831
178	0.9685278594
179	0.9666055117
180	0.9651178768
181	0.9636067826
182	0.9624631399
183	0.9606752462
184	0.9590541353
185	0.957721294
186	0.9560325645
187	0.9544515138
188	0.9525359414
189	0.9509546895
190	0.9492060209
191	0.9479202914
192	0.9459910372
193	0.9448848473
194	0.9428709018
195	0.9414012269
196	0.9395974407
197	0.9379280022
198	0.936679183
199	0.9350134335
200	0.9332748874
201	0.9316261243
202	0.9301343312
203	0.9282825198
204	0.9265676294
205	0.9253206449
206	0.923700762
207	0.9219247468
208	0.9202451199
209	0.9181695555
210	0.9161495642
211	0.9144677738
212	0.9128289947
213	0.9113144216
214	0.9098115703
215	0.908010155
216	0.9067236032
217	0.9050949904
218	0.903394566
219	0.9017270813
220	0.9004558943
221	0.8989885209
222	0.897226443
223	0.8957712899
224	0.8945715198
225	0.8933319903
226	0.8916007535
227	0.8899018573
228	0.888218371
229	0.8862409602
230	0.8848029708
231	0.8833497509
232	0.8821670689
233	0.8806822659
234	0.879257763
235	0.8779225637
236	0.8762521902
237	0.8743916541
238	0.87317846
239	0.8713606176
240	0.8698842024
241	0.8686431584
242	0.8671442666
243	0.8655708717
244	0.8639825844
245	0.8628190631
246	0.8617374999
247	0.8598277055
248	0.8580624819
249	0.8568192135
250	0.8552983007
251	0.8538596819
252	0.852625307
253	0.8510149819
254	0.84955937
255	0.8481003318
256	0.8467563237
257	0.8451230296
258	0.8442899985
259	0.8427894756
260	0.8411843514
261	0.8395175204
262	0.8382123642
263	0.8365392496
264	0.8353967701
265	0.8339870639
266	0.8328726571
267	0.8315599547
268	0.8303331558
269	0.8286247795
270	0.8274118316
271	0.8262415791
272	0.8250301712
273	0.823710431
274	0.8225570323
275	0.8215126757
276	0.8203429044
277	0.8186314597
278	0.8176017317
279	0.8158316843
280	0.8146479956
281	0.8132171534
282	0.8120732247
283	0.810628481
284	0.809279201
285	0.8083404683
286	0.8067534262
287	0.8053834392
288	0.8038576335
289	0.802529098
290	0.8013890922
291	0.8006903826
292	0.799572884
293	0.7981566657
294	0.7968797326
295	0.794869137
296	0.7935761224
297	0.7921133232
298	0.7907419192
299	0.7894434318
300	0.7881305844
301	0.7869414586
302	0.7857701078
303	0.7845584378
304	0.7831876452
305	0.7818743044
306	0.7806383393
307	0.7794616874
308	0.7779894366
309	0.7768611097
310	0.7757918056
311	0.7746170334
312	0.7731767545
313	0.7718548185
314	0.7707590955
315	0.7693894454
316	0.7681307858
317	0.766845546
318	0.765551882
319	0.7643777539
320	0.7635113327
321	0.7625970568
322	0.7612691338
323	0.7600812138
324	0.7586914948
325	0.7574576275
326	0.7563110601
327	0.7548578888
328	0.7535426268
329	0.7525715813
330	0.7513465718
331	0.7496147074
332	0.7484637911
333	0.7474020702
334	0.7464516455
335	0.7452729735
336	0.7438432437
337	0.7426972446
338	0.7414065873
339	0.7399305506
340	0.738978584
341	0.7376800902
342	0.7367507612
343	0.7356867101
344	0.7345285705
345	0.7336487103
346	0.73250205
347	0.7312345721
348	0.7302012427
349	0.7292609188
350	0.7280721602
351	0.7268181594
352	0.7259687073
353	0.7249140899
354	0.7239158694
355	0.7227884285
356	0.7217688148
357	0.7207081568
358	0.7195091859
359	0.718366511
360	0.7174297471
361	0.7164156442
362	0.7157756383
363	0.714866032
364	0.7138590419
365	0.7126533626
366	0.7117771872
367	0.7106892764
368	0.7094908837
369	0.7082983176
370	0.7073478151
371	0.7060939197
372	0.7048344606
373	0.7037004119
374	0.7026217909
375	0.7015713958
376	0.7005731834
377	0.6993571921
378	0.6982722336
379	0.6972559068
380	0.6961758751
381	0.6951397679
382	0.6942062692
383	0.693452566
384	0.6925317952
385	0.6915586531
386	0.6901767341
387	0.6891261251
388	0.6885237446
389	0.6874253824
390	0.6864423045
391	0.6856422777
392	0.6848989891
393	0.68403134
394	0.6833390293
395	0.6822227364
396	0.6814596295
397	0.680406135
398	0.6795348025
399	0.6785982163
400	0.6774654226
401	0.6764372418
402	0.6754059537
403	0.674603586
404	0.6734561739
405	0.6726458012
406	0.6717774159
407	0.6708000203
408	0.6702424321
409	0.6693213713
410	0.6682428482
411	0.6674379524
412	0.6664184607
413	0.6655590911
414	0.6646112896
415	0.6639129703
416	0.6630131816
417	0.6619997523
418	0.6613262305
419	0.6603964242
420	0.6594449965
421	0.6583109061
422	0.6571845332
423	0.6561593798
424	0.6553624969
425	0.6543371447
426	0.6533036324
427	0.6522746841
428	0.6514723195
429	0.6506037645
430	0.6498065071
431	0.6487192263
432	0.6476753728
433	0.6468549025
434	0.646136097
435	0.6449080907
436	0.643987676
437	0.6431810463
438	0.6423733139
439	0.641464865
440	0.6407193775
441	0.6397741535
442	0.6388185598
443	0.6378212273
444	0.6368482109
445	0.6361112773
446	0.6352801168
447	0.6343603169
448	0.6334115648
449	0.6326207486
450	0.6317462391
451	0.6308494686
452	0.6297554902
453	0.6289423111
454	0.6280031127
455	0.6270748566
456	0.6263456078
457	0.6255626556
458	0.6244964323
459	0.6236318458
460	0.6229798709
461	0.622023816
462	0.6213881416
463	0.6204358713
464	0.6195957697
465	0.6188635028
466	0.6178734949
467	0.6170869418
468	0.6164352163
469	0.6158194174
470	0.6147840535
471	0.6138551209
472	0.6130228039
473	0.6121591085
474	0.6113283037
475	0.6104626661
476	0.609649803
477	0.6089118791
478	0.608152632
479	0.6075369823
480	0.6066313953
481	0.6056953237
482	0.6048591906
483	0.6041783635
484	0.6033670616
485	0.6026691803
486	0.6018122998
487	0.6011953031
488	0.6002319571
489	0.599418309
490	0.5986190666
491	0.597965259
492	0.5971692055
493	0.5963919891
494	0.5955559219
495	0.5947564778
496	0.5936851828
497	0.5929435217
498	0.5921877493
499	0.5913578954
500	0.5904733251
501	0.5896261869
502	0.5888822145
503	0.5881105471
504	0.5871751072
505	0.5862243936
506	0.5853710521
507	0.5846811799
508	0.5837936639
509	0.5829137019
510	0.5820891768
511	0.5812704121
512	0.5805955336
513	0.5796281163
514	0.5789215987
515	0.5780641858
516	0.577494735
517	0.5767678158
518	0.5759346247
519	0.5753194902
520	0.5745554347
521	0.5736820127
522	0.5730520612
523	0.5724714801
524	0.5717965712
525	0.5711294197
526	0.5705490112
527	0.5699032059
528	0.5691347279
529	0.5685041013
530	0.5678720477
531	0.5671486197
532	0.5664782188
533	0.5657456106
534	0.5652348531
535	0.564400958
536	0.5637424282
537	0.5629683042
538	0.5622028474
539	0.5613292024
540	0.5606455406
541	0.5600313331
542	0.5592046392
543	0.5584674869
544	0.5575429098
545	0.5568946213
546	0.556154936
547	0.5554157672
548	0.5547455046
549	0.5540643211
550	0.5533562339
551	0.5524786188
552	0.5517252899
553	0.5510311883
554	0.5502205225
555	0.5496903303
556	0.5489098717
557	0.5482591866
558	0.5477754234
559	0.5468644065
560	0.5463468362
561	0.5457607295
562	0.5452489591
563	0.5445876614
564	0.5438205809
565	0.5430575565
566	0.5421743831
567	0.5416360415
568	0.5410757786
569	0.5403990877
570	0.5398907275
571	0.5391657946
572	0.5384676011
573	0.537849589
574	0.5372921617
575	0.5365776127
576	0.5359804709
577	0.5354890518
578	0.5347082299
579	0.5340456186
580	0.533711855
581	0.5330640145
582	0.5324026222
583	0.5318153514
584	0.53116585
585	0.5303818854
586	0.5297451364
587	0.5290823852
588	0.5284551491
589	0.5277344562
590	0.5270147595
591	0.526456147
592	0.5257567392
593	0.5251077541
594	0.5245918012
595	0.5237563596
596	0.5230726429
597	0.5223518668
598	0.5217186592
599	0.5211706836
600	0.5205265583
601	0.5197618739
602	0.5190837899
603	0.5184434557
604	0.5178158844
605	0.5171511585
606	0.5167245442
607	0.5161550659
608	0.5156173709
609	0.5151360305
610	0.5146087664
611	0.5139849533
612	0.5134184177
613	0.5128519013
614	0.5122359326
615	0.5115847662
616	0.5109584784
617	0.5103069375
618	0.5096104139
619	0.5088879665
620	0.5082760893
621	0.5077704682
622	0.5071116202
623	0.5066088108
624	0.5058759081
625	0.5052978158
626	0.5047401927
627	0.5042443309
628	0.5035752218
629	0.5028840685
630	0.5023487319
631	0.5017266864
632	0.5011669603
633	0.5005549422
634	0.5000121123
635	0.4994897453
636	0.4989438652
637	0.4980869977
638	0.4976313097
639	0.4971559384
640	0.4965952453
641	0.4957328347
642	0.4951302917
643	0.4946684102
644	0.4940590192
645	0.4934993879
646	0.4929312701
647	0.4923252129
648	0.4919231841
649	0.4913613525
650	0.4909785038
651	0.4902201232
652	0.4896242273
653	0.4890753097
654	0.4886394277
655	0.4881598511
656	0.4874362796
657	0.4868260694
658	0.4862279076
659	0.485684952
660	0.4852487432
661	0.4846656452
662	0.4841189087
663	0.4836423286
664	0.48316842
665	0.4826905878
666	0.4821348641
667	0.4814869886
668	0.4810045649
669	0.4806471804
670	0.4800461674
671	0.479725076
672	0.4791067725
673	0.4784067259
674	0.4779980253
675	0.477566219
676	0.4770598505
677	0.4764754796
678	0.4760383938
679	0.4754766911
680	0.4749617246
681	0.4744685888
682	0.4740647954
683	0.4734924213
684	0.4729572779
685	0.4723579856
686	0.4717134871
687	0.471080873
688	0.4704878759
689	0.4698484449
690	0.4695020425
691	0.469081132
692	0.4686326831
693	0.4680291548
694	0.4674611174
695	0.4668023954
696	0.466185146
697	0.4656123915
698	0.4650224983
699	0.4643275459
700	0.4637654288
701	0.4632914014
702	0.4627395694
703	0.4621209079
704	0.4615976682
705	0.4611731235
706	0.4606548305
707	0.4602536185
708	0.4597857746
709	0.4593903288
710	0.4588479021
