iter	Passed	Remaining
0	64	64545
1	66	33179
2	68	22620
3	69	17371
4	71	14209
5	72	12092
6	74	10590
7	76	9469
8	77	8585
9	79	7888
10	81	7340
11	83	6913
12	85	6526
13	88	6201
14	90	5912
15	92	5671
16	94	5444
17	96	5246
18	98	5068
19	99	4897
20	101	4741
21	103	4602
22	105	4481
23	107	4370
24	109	4259
25	110	4158
26	112	4065
27	114	3981
28	116	3904
29	118	3833
30	120	3762
31	122	3703
32	124	3649
33	126	3594
34	128	3541
35	130	3490
36	132	3446
37	134	3398
38	136	3352
39	137	3311
40	140	3274
41	141	3238
42	144	3215
43	146	3190
44	148	3160
45	150	3126
46	152	3098
47	154	3067
48	156	3037
49	158	3008
50	160	2981
51	162	2957
52	164	2931
53	165	2907
54	167	2883
55	170	2867
56	172	2848
57	174	2830
58	176	2810
59	178	2794
60	180	2775
61	182	2758
62	184	2743
63	186	2725
64	188	2711
65	190	2693
66	192	2678
67	194	2667
68	196	2656
69	199	2648
70	201	2638
71	203	2624
72	205	2613
73	207	2602
74	210	2592
75	212	2579
76	214	2569
77	216	2558
78	218	2550
79	221	2542
80	223	2533
81	225	2521
82	227	2511
83	229	2502
84	231	2492
85	233	2481
86	235	2472
87	237	2463
88	239	2453
89	241	2441
90	243	2432
91	245	2424
92	247	2417
93	250	2409
94	252	2401
95	254	2392
96	256	2383
97	258	2376
98	260	2370
99	263	2375
100	266	2372
101	269	2369
102	271	2362
103	273	2357
104	276	2352
105	278	2347
106	280	2342
107	283	2337
108	285	2334
109	287	2328
110	290	2324
111	292	2320
112	295	2317
113	297	2314
114	298	2299
115	301	2295
116	303	2291
117	306	2287
118	308	2282
119	310	2276
120	312	2272
121	315	2267
122	317	2263
123	319	2259
124	322	2254
125	324	2251
126	326	2246
127	329	2244
128	331	2239
129	334	2235
130	336	2231
131	338	2227
132	341	2225
133	344	2227
134	347	2225
135	349	2222
136	352	2218
137	353	2208
138	355	2203
139	358	2199
140	360	2194
141	362	2189
142	364	2184
143	366	2180
144	368	2175
145	371	2173
146	373	2168
147	376	2165
148	378	2161
149	380	2157
150	382	2152
151	384	2147
152	387	2143
153	389	2137
154	391	2132
155	393	2128
156	395	2123
157	397	2119
158	399	2115
159	402	2111
160	404	2106
161	406	2102
162	408	2096
163	410	2092
164	413	2090
165	415	2086
166	417	2083
167	419	2079
168	422	2076
169	424	2072
170	426	2069
171	429	2066
172	431	2062
173	433	2059
174	436	2055
175	438	2052
176	440	2048
177	443	2047
178	445	2043
179	447	2040
180	449	2035
181	452	2032
182	454	2030
183	457	2028
184	459	2024
185	461	2021
186	463	2016
187	465	2012
188	467	2007
189	470	2004
190	472	2000
191	474	1997
192	476	1993
193	479	1990
194	481	1987
195	483	1983
196	485	1980
197	487	1976
198	490	1972
199	492	1968
200	494	1964
201	496	1960
202	498	1956
203	500	1952
204	502	1949
205	505	1946
206	507	1943
207	509	1940
208	511	1936
209	513	1932
