,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,71100,2,-600,-0.84,71100,71400,70800,6491272,461697718300,424451539305000,5969782550,STK
1,373220,KR7373220003,LG에너지솔루션,KOSPI,,559000,2,-1000,-0.18,560000,563000,551000,231197,129099897000,130806000000000,234000000,STK
2,000660,KR7000660001,SK하이닉스,KOSPI,,116400,2,-1100,-0.94,116500,117300,115200,1289962,149829642900,84739475286000,728002365,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,735000,2,-6000,-0.81,739000,743000,730000,22638,16710150000,52312890000000,71174000,STK
4,005935,KR7005931001,삼성전자우,KOSPI,,59500,2,-300,-0.5,59800,59900,59300,573517,34153216300,48961758650000,822886700,STK
5,051910,KR7051910008,LG화학,KOSPI,,692000,1,5000,0.73,687000,704000,684000,220042,152840364000,48849901356000,70592343,STK
6,006400,KR7006400006,삼성SDI,KOSPI,,687000,2,-8000,-1.15,685000,695000,683000,142511,98109196000,47241232110000,68764530,STK
7,005380,KR7005380001,현대차,KOSPI,,200500,2,-1500,-0.74,202000,204000,200000,345120,69549827000,42412066953000,211531506,STK
8,005490,KR7005490008,POSCO홀딩스,KOSPI,,496500,2,-3000,-0.6,490500,507000,488500,1023991,508461716500,41989615695000,84571230,STK
9,003670,KR7003670007,포스코퓨처엠,KOSPI,,465500,2,-14500,-3.02,462000,471500,450000,1183095,546287754500,36059128910000,77463220,STK
10,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,359000,2,-2000,-0.55,347000,366000,338000,2621486,922939394500,35110682496000,97801344,KSQ
11,000270,KR7000270009,기아,KOSPI,,84300,2,-1700,-1.98,85300,86000,84200,670485,57007439500,33892326312900,402044203,STK
12,035420,KR7035420009,NAVER,KOSPI,,205000,1,500,0.24,202500,208500,202500,407641,83755011500,33630062425000,164049085,STK
13,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,1088000,2,-29000,-2.6,1089000,1104000,1066000,383548,416749572000,28970902784000,26627668,KSQ
14,012330,KR7012330007,현대모비스,KOSPI,,243000,2,-1000,-0.41,244000,244500,240500,106731,25893383000,22911277842000,94285094,STK
15,035720,KR7035720002,카카오,KOSPI,,50600,1,200,0.4,50100,51100,50100,844107,42818430700,22479722474000,444263290,STK
16,068270,KR7068270008,셀트리온,KOSPI,,150100,1,200,0.13,149900,151100,149000,253699,38105975300,21973268386200,146390862,STK
17,066570,KR7066570003,LG전자,KOSPI,,121400,2,-2100,-1.7,122700,124200,121100,351145,42929287000,19866844619600,163647814,STK
18,105560,KR7105560007,KB금융,KOSPI,,48500,1,350,0.73,48150,48500,48050,465685,22509272750,19570286992000,403511072,STK
19,028260,KR7028260008,삼성물산,KOSPI,,103000,2,-300,-0.29,102700,103400,102600,85101,8759721700,19115942010000,185591670,STK
20,055550,KR7055550008,신한지주,KOSPI,,33850,1,300,0.89,33600,33950,33500,392753,13259288950,17546049944300,518347118,STK
21,096770,KR7096770003,SK이노베이션,KOSPI,,174200,1,4700,2.77,170600,182400,170500,1535828,271939894900,16107501248800,92465564,STK
22,003550,KR7003550001,LG,KOSPI,,87900,1,1500,1.74,86400,88100,85800,103567,9059700900,13826757284700,157300993,STK
23,032830,KR7032830002,삼성생명,KOSPI,,69000,2,-100,-0.14,68500,69200,68100,65087,4470060800,13800000000000,200000000,STK
24,015760,KR7015760002,한국전력,KOSPI,,20200,3,0,0.0,20150,20400,20050,305095,6157188150,12967674355400,641964077,STK
25,329180,KR7329180004,HD현대중공업,KOSPI,,141800,2,-3000,-2.07,143800,145500,140500,102574,14587810300,12588027848800,88773116,STK
26,323410,KR7323410001,카카오뱅크,KOSPI,,25550,1,50,0.2,25200,26000,25200,419880,10752321550,12181400350350,476767137,STK
27,086790,KR7086790003,하나금융지주,KOSPI,,39100,1,350,0.9,38700,39200,38650,377485,14712347900,11569825911600,295903476,STK
28,009150,KR7009150004,삼성전기,KOSPI,,152600,2,-600,-0.39,151500,153900,151500,178917,27328531150,11398258009600,74693696,STK
29,352820,KR7352820005,하이브,KOSPI,,271000,1,7500,2.85,264000,272500,260500,186967,50183149000,11287718287000,41652097,STK
30,033780,KR7033780008,KT&G,KOSPI,,82100,1,100,0.12,82000,82300,81900,65726,5396010900,11271714003700,137292497,STK
31,034020,KR7034020008,두산에너빌리티,KOSPI,,17490,2,-180,-1.02,17650,17650,17270,2047978,35760524460,11203414443540,640561146,STK
32,000810,KR7000810002,삼성화재,KOSPI,,235000,2,-2500,-1.05,237500,238000,233000,29379,6909689000,11133086695000,47374837,STK
33,034730,KR7034730002,SK,KOSPI,,147800,1,800,0.54,146100,149400,145400,86073,12730939000,10818713026200,73198329,STK
34,091990,KR7091990002,셀트리온헬스케어,KOSDAQ GLOBAL,우량기업부,63800,2,-100,-0.16,63900,64800,63500,440419,28251097700,10492542258000,164459910,KSQ
35,066970,KR7066970005,엘앤에프,KOSDAQ GLOBAL,우량기업부,281500,1,2500,0.9,270000,295500,265500,3787826,1065557598000,10201496944000,36239776,KSQ
36,018260,KR7018260000,삼성에스디에스,KOSPI,,129300,2,-300,-0.23,128500,130500,128200,47212,6094957000,10004949540000,77377800,STK
37,011200,KR7011200003,HMM,KOSPI,,20450,1,1430,7.52,19230,21000,19000,9356883,190386355840,10000857693200,489039496,STK
38,017670,KR7017670001,SK텔레콤,KOSPI,,45300,1,300,0.67,45000,45750,44800,250665,11363561000,9913141423200,218833144,STK
39,138040,KR7138040001,메리츠금융지주,KOSPI,,47050,1,1850,4.09,45100,47350,45100,904578,42102497050,9796650218900,208217858,STK
40,042660,KR7042660001,한화오션,KOSPI,,44600,2,-1900,-4.09,46000,46050,43500,1054880,46979308850,9672553595400,216873399,STK
41,003490,KR7003490000,대한항공,KOSPI,,26200,1,750,2.95,25450,26200,25450,1365657,35504036450,9647381318200,368220661,STK
42,010130,KR7010130003,고려아연,KOSPI,,468500,1,6000,1.3,456500,471500,451000,24394,11285564000,9305889523000,19863158,STK
43,009540,KR7009540006,HD한국조선해양,KOSPI,,125200,2,-1300,-1.03,127000,128000,124200,241534,30251058600,8860794123200,70773116,STK
44,259960,KR7259960003,크래프톤,KOSPI,,182700,2,-600,-0.33,182300,185700,181700,38076,6985900600,8835873146100,48362743,STK
45,047050,KR7047050000,포스코인터내셔널,KOSPI,,48450,1,1500,3.19,46000,49100,46000,1977621,95045005550,8523459078600,175922788,STK
46,316140,KR7316140003,우리금융지주,KOSPI,,11680,1,20,0.17,11650,11720,11610,1064476,12408173530,8503747212320,728060549,STK
47,024110,KR7024110009,기업은행,KOSPI,,10190,1,10,0.1,10160,10200,10100,333534,3389832630,8125769605110,797425869,STK
48,010950,KR7010950004,S-Oil,KOSPI,,70700,1,900,1.29,69600,71200,69100,351473,24839273600,7959603394400,112582792,STK
49,030200,KR7030200000,KT,KOSPI,,29350,2,-50,-0.17,29300,29500,29300,339886,9987542500,7663631564800,261111808,STK
50,009830,KR7009830001,한화솔루션,KOSPI,,44450,3,0,0.0,44250,45250,43850,679264,30269369400,7640623225200,171892536,STK
51,010140,KR7010140002,삼성중공업,KOSPI,,8400,2,-160,-1.87,8620,8640,8370,7305970,62087140000,7392000000000,880000000,STK
52,086280,KR7086280005,현대글로비스,KOSPI,,188000,3,0,0.0,188000,189200,186600,53389,10045697000,7050000000000,37500000,STK
53,051900,KR7051900009,LG생활건강,KOSPI,,447500,2,-6500,-1.43,451500,455500,446000,33730,15202413000,6989143157500,15618197,STK
54,011070,KR7011070000,LG이노텍,KOSPI,,287500,2,-500,-0.17,288000,291000,285500,76552,22069262000,6804293262500,23667107,STK
55,361610,KR7361610009,SK아이이테크놀로지,KOSPI,,95200,1,3900,4.27,90700,96900,90500,846817,80589753700,6787530758400,71297592,STK
56,377300,KR7377300009,카카오페이,KOSPI,,50200,1,250,0.5,49300,50800,49300,94788,4753600700,6729206788800,134047944,STK
57,326030,KR7326030004,SK바이오팜,KOSPI,,85700,1,4100,5.02,81600,87000,81100,317869,27200465300,6711445525000,78313250,STK
